date,description,amount,category,payment_method
2014-12-02,post,-87.76,living,cash
2014-12-02,beer,-14.7,living,cash
2014-12-04,walmart,-11.88,living,cash
2014-12-04,wikipedia,-10,living,cash
2014-12-05,starbucks,-5.4,living,cash
2014-12-05,goodlife,-28.25,living,cash
2014-12-06,bus,-4.95,living,cash
2014-12-06,chances R,-29.82,living,cash
2014-12-06,beer,-8.35,living,cash
2014-12-07,subway,-8.86,living,cash
2014-12-07,wild wings,-25,living,cash
2014-12-08,subway,-6.72,living,cash
2015-12-08,wind,-33.6,living,cash
2014-12-09,subway,-6.72,living,cash
2014-12-09,shoppers,-19.19,living,cash
2014-12-10,subway,-6.72,living,cash
2014-12-10,HST rebate,49.15,living,cash
2014-12-11,subway,-6.72,living,cash
2014-12-11,work,1001.14,living,cash
2014-12-11,walmart,-21.05,living,cash
2014-12-12,subway,-6.72,living,cash
2014-12-12,arby,-1.67,living,cash
2014-12-12,tutoring,45,living,cash
2014-12-13,subway,-8.86,living,cash
2014-12-13,starbucks,-2.7,living,cash
2014-12-13,tutoring,45,living,cash
2014-12-13,wild wings,-17.8,living,cash
2014-12-13,superstore,-21.26,living,cash
2014-12-14,subway,-6.7,living,cash
2014-12-14,starbucks,-5.65,living,cash
2014-12-14,wild wings,-22.35,living,cash
2014-12-15,subway,-13.4,living,cash
2014-12-15,hotwire,-130.53,living,cash
2014-12-16,subway,-6.72,living,cash
2014-12-16,td reimburse,10.95,living,cash
2014-12-16,tutoring,90,living,cash
2014-12-17,subway,-6.72,living,cash
2014-12-17,superstore,-17.59,living,cash
2014-12-18,work(lunch),-331.41,living,cash
2014-12-18,tutoring,210,living,cash
2014-12-19,tutoring,240,living,cash
2014-12-19,work,621.85,living,cash
2014-12-19,bus,-3.45,living,cash
2014-12-19,jimmythegreek,-9.03,living,cash
2014-12-19,rw&co,-79.04,living,cash
2014-12-19,lcbo,-13.75,living,cash
2014-12-19,shoppers,-26.62,living,cash
2014-12-19,taxi,-30,living,cash
2014-12-19,mansion,-15.75,living,cash
2014-12-19,maxwell,-23,living,cash
2014-12-19,etc,-190,living,cash
2014-12-19,goodlife,-28.25,living,cash
2014-12-20,eggspectation,-33.81,living,cash
2014-12-20,chapters,-94.78,living,cash
2014-12-20,bus,-6.9,living,cash
2014-12-20,tutoring,45,living,cash
2014-12-20,book,-20.33,living,cash
2014-12-21,subway,-9.9,living,cash
2014-12-22,dinner,-40,living,cash
2014-12-23,importduty,-18.67,living,cash
2014-12-23,grandma,300,living,cash
2014-12-24,driver license,-80,living,cash
2014-12-27,homehardwr,-2.9,living,cash
2014-12-27,gas,-30,living,cash
2014-12-28,cinema,-27.5,living,cash
2014-12-31,bus,-2.95,living,cash
2014-12-31,timhortons,-6.55,living,cash
2014-12-31,laptop,-248.6,living,cash
2015-01-02,goodlife,-28.25,living,cash
2015-01-03,lees xpres,-47.44,living,cash
2015-01-03,bus,-17.52,living,cash
2015-01-03,taxi,-49.65,living,cash
2015-01-03,etc,-100,living,cash
2015-01-04,owl,-12,living,cash
2015-01-04,rent,-1000,living,cash
2015-01-04,honest eds,-25.97,living,cash
2015-01-05,GST rebate,67,living,cash
2015-01-05,second cup,-2.9,living,cash
2015-01-05,resto,-17.8,living,cash
2015-01-06,second cup,-2.9,living,cash
2015-01-06,subway,-6.75,living,cash
2015-01-06,pat mart,-22.98,living,cash
2015-01-07,subway,-6.75,living,cash
2015-01-07,pat mart,-14.79,living,cash
2015-01-07,wind,-33.6,living,cash
2015-01-08,sheaf tavern,-12.37,living,cash
2015-01-08,ciropractice,-40,living,cash
2015-01-08,pat mart,-7.98,living,cash
2015-01-08,wind,-33.6,living,cash
2015-01-09,beer,-11.55,living,cash
2015-01-09,pat mart,-12.14,living,cash
2015-01-09,HST rebate,49.15,living,cash
2015-01-10,owl,-24,living,cash
2015-01-10,cinema,-35.58,living,cash
2015-01-10,pat mart,-3,living,cash
2015-01-11,lim gane,-9.6,living,cash
2015-01-11,lamesa,-51.98,living,cash
2015-01-12,subway,-6.75,living,cash
2015-01-13,subway,-9.7,living,cash
2015-01-13,grocery,-11.63,living,cash
2015-01-13,pat mart,-21.44,living,cash
2015-01-13,laundry,-3.75,living,cash
2015-01-13,pour boy,-6.75,living,cash
2015-01-14,fit for life,-4.2,living,cash
2015-01-15,subway,-6.75,living,cash
2015-01-15,coco rice,-14.37,living,cash
2015-01-15,work,840.18,living,cash
2015-01-16,goodlife,-28.25,living,cash
2015-01-17,american eagle,-58.7,living,cash
2015-01-17,doners falafel,-9,living,cash
2015-01-17,lcbo,-17.4,living,cash
2015-01-17,indigo,-17.85,living,cash
2015-01-18,timothys,2.75,living,cash
2015-01-18,sushi,-40,living,cash
2015-01-18,popeyes nute,-11.29,living,cash
2015-01-19,bamboo buddha,-6.5,living,cash
2015-01-19,pat mart,-25.87,living,cash
2015-01-20,el taco,-11.25,living,cash
2015-01-21,bamboo buddha,-6.5,living,cash
2015-01-22,bamboo buddha,-6.5,living,cash
2015-01-23,banknotes,-24,living,cash
2015-01-23,philantrophy,-16.25,living,cash
2015-01-23,emart,-5,living,cash
2015-01-24,pat mart,-4,living,cash
2015-01-25,starbucks,-3.1,living,cash
2015-01-25,casa loma,-24,living,cash
2015-01-25,hotdog,-2,living,cash
2015-01-25,skating,-20,living,cash
2015-01-25,jack&jones,-84.75,living,cash
2015-01-25,pat mart,-28.1,living,cash
2015-01-26,fit for life,-4.5,living,cash
2015-01-26,bamboo buddha,-6.5,living,cash
2015-01-26,laundry,-2.75,living,cash
2015-01-26,pat mart,-16.49,living,cash
2015-01-27,timhortons,-4.1,living,cash
2015-01-27,bamboo buddha,-6.5,living,cash
